"","X","commonname","time","latitude","longitude","region_name","island","site","reef_zone","depth_bin","sitevisitid","date_","obs_year","diver","rep","method","photographer","training_yn","depth","survey_radius_m","hard_coral","soft_coral","ma","cca","ta","sand","tunicate","zoanthid","corallimorph","clam","cyano","sponge","other","other_type","habitat_code","habitat_type","current_strength","visibility","substrate_height_0","substrate_height_20","substrate_height_50","substrate_height_100","substrate_height_150","max_height","urchin_dacor","boring_urchin_dacor","roundid","missionid","min_depth","max_depth","objectid","replicateid","species","taxonname","commonfamilyall","family","scientific_name","trophic","count"
"121745",121745,"Yellow tang","2013-08-03T00:00:00Z",20.24361681,-155.8899036,"Main Hawaiian Islands","Hawaii","HAW-460","Forereef","Shallow",5934,"2013-08-03T00:00:00Z",2013,"MKM","A","nSPC",0,-15,5,7.5,5,0,0,5,85,5,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",17,40,10,25,25,0,1.5,"O","O",83,"HA1304",5.5,5.5,1944958,1845958533,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",1
"121746",121746,"Yellow tang","2013-08-03T00:00:00Z",20.24433305,-155.7739823,"Main Hawaiian Islands","Hawaii","HAW-469","Forereef","Shallow",5925,"2013-08-03T00:00:00Z",2013,"AEG","A","nSPC",0,-15,5,7.5,5,0,15,0,70,10,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",8,50,50,0,0,0,0.5,"R","R",83,"HA1304",5.2,5.2,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121747",121747,"Yellow tang","2013-08-03T00:00:00Z",20.24433305,-155.7739823,"Main Hawaiian Islands","Hawaii","HAW-469","Forereef","Shallow",5925,"2013-08-03T00:00:00Z",2013,"KSM","A","nSPC",-1,-15,5,7.5,2,0,25,0,53,20,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",8,20,20,60,0,0,0.7,"R","R",83,"HA1304",5,5,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121748",121748,"Yellow tang","2013-08-03T00:00:00Z",20.24934433,-155.7970292,"Main Hawaiian Islands","Hawaii","HAW-468","Forereef","Shallow",5926,"2013-08-03T00:00:00Z",2013,"AEG","A","nSPC",0,-15,5,7.5,10,0,20,5,55,10,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",9,20,20,40,20,0,1.2,"R","R",83,"HA1304",5.5,5.8,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121749",121749,"Yellow tang","2013-08-03T00:00:00Z",20.24934433,-155.7970292,"Main Hawaiian Islands","Hawaii","HAW-468","Forereef","Shallow",5926,"2013-08-03T00:00:00Z",2013,"KCL","A","nSPC",-1,-15,4,7.5,4,0,1,5,75,15,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",8,25,10,35,30,0,1.3,"R","O",83,"HA1304",4.2,5.2,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121750",121750,"Yellow tang","2013-08-03T00:00:00Z",20.25059533,-155.7924614,"Main Hawaiian Islands","Hawaii","HAW-448","Forereef","Mid",5931,"2013-08-03T00:00:00Z",2013,"JPZ","A","nSPC",-1,-15,13,7.5,10,0,5,1,79,5,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",20,5,15,15,30,35,3,"R","R",83,"HA1304",12.1,13.9,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121751",121751,"Yellow tang","2013-08-03T00:00:00Z",20.25059533,-155.7924614,"Main Hawaiian Islands","Hawaii","HAW-448","Forereef","Mid",5931,"2013-08-03T00:00:00Z",2013,"MKM","A","nSPC",0,-15,12,7.5,10,0,5,5,75,5,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",30,5,0,10,25,60,3,"R","R",83,"HA1304",11,12.5,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121752",121752,"Yellow tang","2013-08-03T00:00:00Z",20.25749448,-155.8038442,"Main Hawaiian Islands","Hawaii","HAW-395","Forereef","Deep",5932,"2013-08-03T00:00:00Z",2013,"JMA","A","nSPC",0,-15,26,7.5,5,0,2,3,60,30,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",14,25,45,20,10,0,1.4,"R","R",83,"HA1304",25.5,27,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121753",121753,"Yellow tang","2013-08-03T00:00:00Z",20.25749448,-155.8038442,"Main Hawaiian Islands","Hawaii","HAW-395","Forereef","Deep",5932,"2013-08-03T00:00:00Z",2013,"PMA","A","nSPC",-1,-15,22,7.5,8,0,0,2,82,8,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",18,30,30,25,10,5,2.5,"R","R",83,"HA1304",24,24,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121754",121754,"Yellow tang","2013-08-03T00:00:00Z",20.26168551,-155.8246959,"Main Hawaiian Islands","Hawaii","HAW-433","Forereef","Mid",5927,"2013-08-03T00:00:00Z",2013,"AEG","A","nSPC",0,-15,13,7.5,15,0,25,5,40,15,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",20,25,25,25,25,0,1.3,"R","R",83,"HA1304",13.3,13.9,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
