"","X","commonname","time","latitude","longitude","region_name","island","site","reef_zone","depth_bin","sitevisitid","date_","obs_year","diver","rep","method","photographer","training_yn","depth","survey_radius_m","hard_coral","soft_coral","ma","cca","ta","sand","tunicate","zoanthid","corallimorph","clam","cyano","sponge","other","other_type","habitat_code","habitat_type","current_strength","visibility","substrate_height_0","substrate_height_20","substrate_height_50","substrate_height_100","substrate_height_150","max_height","urchin_dacor","boring_urchin_dacor","roundid","missionid","min_depth","max_depth","objectid","replicateid","species","taxonname","commonfamilyall","family","scientific_name","trophic","count"
"121936",121936,"Yellow tang","2013-08-08T00:00:00Z",20.0630039,-155.8532633,"Main Hawaiian Islands","Hawaii","HAW-488","Forereef","Deep",6008,"2013-08-08T00:00:00Z",2013,"MKM","A","nSPC",0,-15,21,7.5,10,0,2,5,63,20,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","None",15,20,10,5,30,35,6,"C","R",83,"HA1304",16.5,22.6,1948613,1845958620,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121937",121937,"Yellow tang","2013-08-08T00:00:00Z",20.0630039,-155.8532633,"Main Hawaiian Islands","Hawaii","HAW-488","Forereef","Deep",6008,"2013-08-08T00:00:00Z",2013,"PMA","A","nSPC",-1,-15,23,7.5,15,0,1,10,34,40,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","None",17,40,5,5,10,40,5,"A","R",83,"HA1304",23,23,1949113,1845958636,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",1
"121938",121938,"Yellow tang","2013-08-08T00:00:00Z",20.0630039,-155.8532633,"Main Hawaiian Islands","Hawaii","HAW-488","Forereef","Deep",6008,"2013-08-08T00:00:00Z",2013,"PMA","A","nSPC",-1,-15,23,7.5,15,0,1,10,34,40,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","None",17,40,5,5,10,40,5,"A","R",83,"HA1304",23,23,1949114,1845958636,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121939",121939,"Yellow tang","2013-08-08T00:00:00Z",20.0630039,-155.8532633,"Main Hawaiian Islands","Hawaii","HAW-488","Forereef","Deep",6008,"2013-08-08T00:00:00Z",2013,"PMA","A","nSPC",-1,-15,23,7.5,15,0,1,10,34,40,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","None",17,40,5,5,10,40,5,"A","R",83,"HA1304",23,23,1949115,1845958636,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",3
"121940",121940,"Yellow tang","2013-08-08T00:00:00Z",20.0630039,-155.8532633,"Main Hawaiian Islands","Hawaii","HAW-488","Forereef","Deep",6008,"2013-08-08T00:00:00Z",2013,"PMA","A","nSPC",-1,-15,23,7.5,15,0,1,10,34,40,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","None",17,40,5,5,10,40,5,"A","R",83,"HA1304",23,23,1949116,1845958636,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121941",121941,"Yellow tang","2015-06-16T00:00:00Z",19.482254,-155.941357,"Main Hawaiian Islands","Hawaii","HAW-2405","Forereef","Mid",7493,"2015-06-16T00:00:00Z",2015,"IDW","A","nSPC",-1,0,14,7.5,5,0,0,1,69,25,0,0,0,0,0,0,0,NA,"RRB","Reef Rubble","None",20,70,25,5,0,0,0.6,"C","R",98,"HA1503",12,16.1,2025769,1845960328,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",3
"121942",121942,"Yellow tang","2015-06-16T00:00:00Z",19.482254,-155.941357,"Main Hawaiian Islands","Hawaii","HAW-2405","Forereef","Mid",7493,"2015-06-16T00:00:00Z",2015,"IDW","A","nSPC",-1,0,14,7.5,5,0,0,1,69,25,0,0,0,0,0,0,0,NA,"RRB","Reef Rubble","None",20,70,25,5,0,0,0.6,"C","R",98,"HA1503",12,16.1,2025770,1845960328,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",4
"121943",121943,"Yellow tang","2015-06-16T00:00:00Z",19.482254,-155.941357,"Main Hawaiian Islands","Hawaii","HAW-2405","Forereef","Mid",7493,"2015-06-16T00:00:00Z",2015,"IDW","A","nSPC",-1,0,14,7.5,5,0,0,1,69,25,0,0,0,0,0,0,0,NA,"RRB","Reef Rubble","None",20,70,25,5,0,0,0.6,"C","R",98,"HA1503",12,16.1,2025771,1845960328,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121944",121944,"Yellow tang","2015-06-16T00:00:00Z",19.482254,-155.941357,"Main Hawaiian Islands","Hawaii","HAW-2405","Forereef","Mid",7493,"2015-06-16T00:00:00Z",2015,"IDW","A","nSPC",-1,0,14,7.5,5,0,0,1,69,25,0,0,0,0,0,0,0,NA,"RRB","Reef Rubble","None",20,70,25,5,0,0,0.6,"C","R",98,"HA1503",12,16.1,2025772,1845960328,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121945",121945,"Yellow tang","2015-06-16T00:00:00Z",19.482254,-155.941357,"Main Hawaiian Islands","Hawaii","HAW-2405","Forereef","Mid",7493,"2015-06-16T00:00:00Z",2015,"RCB","A","nSPC",0,0,14,7.5,1,0,0,0,79,20,0,0,0,0,0,0,0,NA,"RRB","Reef Rubble","None",20,80,20,0,0,0,0.5,"R","R",98,"HA1503",13,14.2,2025739,1845960327,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",16
"121946",121946,"Yellow tang","2015-06-16T00:00:00Z",19.482746,-155.948164,"Main Hawaiian Islands","Hawaii","HAW-2185","Forereef","Deep",7500,"2015-06-16T00:00:00Z",2015,"KDG","A","nSPC",0,0,18,7.5,20,0,0,0,70,10,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",18,40,40,20,0,0,1,"O","R",98,"HA1503",16,22,2024837,1845960308,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",4
"121947",121947,"Yellow tang","2015-06-16T00:00:00Z",19.482746,-155.948164,"Main Hawaiian Islands","Hawaii","HAW-2185","Forereef","Deep",7500,"2015-06-16T00:00:00Z",2015,"KDG","A","nSPC",0,0,18,7.5,20,0,0,0,70,10,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",18,40,40,20,0,0,1,"O","R",98,"HA1503",16,22,2024838,1845960308,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",4
"121948",121948,"Yellow tang","2015-06-16T00:00:00Z",19.482746,-155.948164,"Main Hawaiian Islands","Hawaii","HAW-2185","Forereef","Deep",7500,"2015-06-16T00:00:00Z",2015,"KDG","A","nSPC",0,0,18,7.5,20,0,0,0,70,10,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",18,40,40,20,0,0,1,"O","R",98,"HA1503",16,22,2024839,1845960308,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",3
"121949",121949,"Yellow tang","2015-06-16T00:00:00Z",19.482746,-155.948164,"Main Hawaiian Islands","Hawaii","HAW-2185","Forereef","Deep",7500,"2015-06-16T00:00:00Z",2015,"KDG","A","nSPC",0,0,18,7.5,20,0,0,0,70,10,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",18,40,40,20,0,0,1,"O","R",98,"HA1503",16,22,2024840,1845960308,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",3
"121950",121950,"Yellow tang","2015-06-16T00:00:00Z",19.482746,-155.948164,"Main Hawaiian Islands","Hawaii","HAW-2185","Forereef","Deep",7500,"2015-06-16T00:00:00Z",2015,"LMG","A","nSPC",-1,0,19,7.5,14,0,1,15,68,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","Slight",30,50,49,1,0,0,0.6,"R","R",98,"HA1503",15,23,2025113,1845960314,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",7
"121951",121951,"Yellow tang","2015-06-16T00:00:00Z",19.485654,-155.950035,"Main Hawaiian Islands","Hawaii","HAW-2318","Forereef","Shallow",7499,"2015-06-16T00:00:00Z",2015,"AEG","A","nSPC",-1,0,4,7.5,10,0,0,20,70,0,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",25,45,10,15,15,15,3,"C","C",98,"HA1503",3,5.5,2025152,1845960315,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",10
"121952",121952,"Yellow tang","2015-06-16T00:00:00Z",19.485654,-155.950035,"Main Hawaiian Islands","Hawaii","HAW-2318","Forereef","Shallow",7499,"2015-06-16T00:00:00Z",2015,"AEG","A","nSPC",-1,0,4,7.5,10,0,0,20,70,0,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",25,45,10,15,15,15,3,"C","C",98,"HA1503",3,5.5,2025153,1845960315,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",10
"121953",121953,"Yellow tang","2015-06-16T00:00:00Z",19.485654,-155.950035,"Main Hawaiian Islands","Hawaii","HAW-2318","Forereef","Shallow",7499,"2015-06-16T00:00:00Z",2015,"AEG","A","nSPC",-1,0,4,7.5,10,0,0,20,70,0,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",25,45,10,15,15,15,3,"C","C",98,"HA1503",3,5.5,2025154,1845960315,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",7
"121954",121954,"Yellow tang","2015-06-16T00:00:00Z",19.485654,-155.950035,"Main Hawaiian Islands","Hawaii","HAW-2318","Forereef","Shallow",7499,"2015-06-16T00:00:00Z",2015,"JLG","A","nSPC",0,0,4,7.5,10,0,0,25,60,5,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",22,0,0,0,25,75,4,"R","R",98,"HA1503",4,4.6,2024884,1845960309,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",6
"121955",121955,"Yellow tang","2015-06-16T00:00:00Z",19.485654,-155.950035,"Main Hawaiian Islands","Hawaii","HAW-2318","Forereef","Shallow",7499,"2015-06-16T00:00:00Z",2015,"JLG","A","nSPC",0,0,4,7.5,10,0,0,25,60,5,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",22,0,0,0,25,75,4,"R","R",98,"HA1503",4,4.6,2024885,1845960309,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",6
"121956",121956,"Yellow tang","2015-06-16T00:00:00Z",19.491988,-155.949943,"Main Hawaiian Islands","Hawaii","HAW-1799","Forereef","Mid",7498,"2015-06-16T00:00:00Z",2015,"KDG","A","nSPC",-1,0,6,7.5,30,0,0,40,25,5,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",18,10,20,20,50,0,1.4,"D","O",98,"HA1503",6,6.5,2024758,1845960306,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121957",121957,"Yellow tang","2015-06-16T00:00:00Z",19.491988,-155.949943,"Main Hawaiian Islands","Hawaii","HAW-1799","Forereef","Mid",7498,"2015-06-16T00:00:00Z",2015,"KDG","A","nSPC",-1,0,6,7.5,30,0,0,40,25,5,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",18,10,20,20,50,0,1.4,"D","O",98,"HA1503",6,6.5,2024759,1845960306,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",4
"121958",121958,"Yellow tang","2015-06-16T00:00:00Z",19.491988,-155.949943,"Main Hawaiian Islands","Hawaii","HAW-1799","Forereef","Mid",7498,"2015-06-16T00:00:00Z",2015,"KDG","A","nSPC",-1,0,6,7.5,30,0,0,40,25,5,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",18,10,20,20,50,0,1.4,"D","O",98,"HA1503",6,6.5,2024760,1845960306,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",4
"121959",121959,"Yellow tang","2015-06-16T00:00:00Z",19.491988,-155.949943,"Main Hawaiian Islands","Hawaii","HAW-1799","Forereef","Mid",7498,"2015-06-16T00:00:00Z",2015,"LMG","A","nSPC",0,0,6,7.5,28,0,0,25,46,1,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",30,10,25,20,20,25,2.5,"D","O",98,"HA1503",7,7,2024979,1845960311,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",7
"121960",121960,"Yellow tang","2015-06-16T00:00:00Z",19.491988,-155.949943,"Main Hawaiian Islands","Hawaii","HAW-1799","Forereef","Mid",7498,"2015-06-16T00:00:00Z",2015,"LMG","A","nSPC",0,0,6,7.5,28,0,0,25,46,1,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",30,10,25,20,20,25,2.5,"D","O",98,"HA1503",7,7,2024980,1845960311,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",7
"121961",121961,"Yellow tang","2015-06-16T00:00:00Z",19.491988,-155.949943,"Main Hawaiian Islands","Hawaii","HAW-1799","Forereef","Mid",7498,"2015-06-16T00:00:00Z",2015,"LMG","A","nSPC",0,0,6,7.5,28,0,0,25,46,1,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",30,10,25,20,20,25,2.5,"D","O",98,"HA1503",7,7,2024981,1845960311,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",7
"121962",121962,"Yellow tang","2015-06-16T00:00:00Z",19.5037,-155.952654,"Main Hawaiian Islands","Hawaii","HAW-1901","Forereef","Mid",7506,"2015-06-16T00:00:00Z",2015,"MSW","A","nSPC",0,0,7,7.5,30,0,0,5,63,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",29,50,50,0,0,0,0.4,"A","C",98,"HA1503",7,7.3,2025628,1845960324,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121963",121963,"Yellow tang","2015-06-16T00:00:00Z",19.5037,-155.952654,"Main Hawaiian Islands","Hawaii","HAW-1901","Forereef","Mid",7506,"2015-06-16T00:00:00Z",2015,"MSW","A","nSPC",0,0,7,7.5,30,0,0,5,63,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",29,50,50,0,0,0,0.4,"A","C",98,"HA1503",7,7.3,2025629,1845960324,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",6
"121964",121964,"Yellow tang","2015-06-16T00:00:00Z",19.5037,-155.952654,"Main Hawaiian Islands","Hawaii","HAW-1901","Forereef","Mid",7506,"2015-06-16T00:00:00Z",2015,"MSW","A","nSPC",0,0,7,7.5,30,0,0,5,63,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",29,50,50,0,0,0,0.4,"A","C",98,"HA1503",7,7.3,2025630,1845960324,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121965",121965,"Yellow tang","2015-06-16T00:00:00Z",19.5037,-155.952654,"Main Hawaiian Islands","Hawaii","HAW-1901","Forereef","Mid",7506,"2015-06-16T00:00:00Z",2015,"MSW","A","nSPC",0,0,7,7.5,30,0,0,5,63,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",29,50,50,0,0,0,0.4,"A","C",98,"HA1503",7,7.3,2025631,1845960324,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121966",121966,"Yellow tang","2015-06-16T00:00:00Z",19.5037,-155.952654,"Main Hawaiian Islands","Hawaii","HAW-1901","Forereef","Mid",7506,"2015-06-16T00:00:00Z",2015,"MSW","A","nSPC",0,0,7,7.5,30,0,0,5,63,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",29,50,50,0,0,0,0.4,"A","C",98,"HA1503",7,7.3,2025638,1845960324,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121967",121967,"Yellow tang","2015-06-16T00:00:00Z",19.5037,-155.952654,"Main Hawaiian Islands","Hawaii","HAW-1901","Forereef","Mid",7506,"2015-06-16T00:00:00Z",2015,"PMA","A","nSPC",-1,0,8,7.5,25,0,0,10,63,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",22,15,15,25,20,25,2.1,"D","O",98,"HA1503",9,9,2025662,1845960325,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",6
"121968",121968,"Yellow tang","2015-06-16T00:00:00Z",19.5037,-155.952654,"Main Hawaiian Islands","Hawaii","HAW-1901","Forereef","Mid",7506,"2015-06-16T00:00:00Z",2015,"PMA","A","nSPC",-1,0,8,7.5,25,0,0,10,63,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",22,15,15,25,20,25,2.1,"D","O",98,"HA1503",9,9,2025663,1845960325,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",10
"121969",121969,"Yellow tang","2015-06-16T00:00:00Z",19.5037,-155.952654,"Main Hawaiian Islands","Hawaii","HAW-1901","Forereef","Mid",7506,"2015-06-16T00:00:00Z",2015,"PMA","A","nSPC",-1,0,8,7.5,25,0,0,10,63,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",22,15,15,25,20,25,2.1,"D","O",98,"HA1503",9,9,2025664,1845960325,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",7
"121970",121970,"Yellow tang","2015-06-16T00:00:00Z",19.509591,-155.957528,"Main Hawaiian Islands","Hawaii","HAW-1843","Forereef","Deep",7505,"2015-06-16T00:00:00Z",2015,"AAF","A","nSPC",0,0,22,7.5,30,0,0,15,55,0,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",30,80,15,5,0,0,0.7,"O","R",98,"HA1503",22,25,2025993,1845960332,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121971",121971,"Yellow tang","2015-06-16T00:00:00Z",19.509591,-155.957528,"Main Hawaiian Islands","Hawaii","HAW-1843","Forereef","Deep",7505,"2015-06-16T00:00:00Z",2015,"AAF","A","nSPC",0,0,22,7.5,30,0,0,15,55,0,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",30,80,15,5,0,0,0.7,"O","R",98,"HA1503",22,25,2025994,1845960332,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121972",121972,"Yellow tang","2015-06-16T00:00:00Z",19.509591,-155.957528,"Main Hawaiian Islands","Hawaii","HAW-1843","Forereef","Deep",7505,"2015-06-16T00:00:00Z",2015,"AAF","A","nSPC",0,0,22,7.5,30,0,0,15,55,0,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",30,80,15,5,0,0,0.7,"O","R",98,"HA1503",22,25,2025995,1845960332,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121973",121973,"Yellow tang","2015-06-16T00:00:00Z",19.509591,-155.957528,"Main Hawaiian Islands","Hawaii","HAW-1843","Forereef","Deep",7505,"2015-06-16T00:00:00Z",2015,"AAF","A","nSPC",0,0,22,7.5,30,0,0,15,55,0,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",30,80,15,5,0,0,0.7,"O","R",98,"HA1503",22,25,2025996,1845960332,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121974",121974,"Yellow tang","2015-06-16T00:00:00Z",19.509591,-155.957528,"Main Hawaiian Islands","Hawaii","HAW-1843","Forereef","Deep",7505,"2015-06-16T00:00:00Z",2015,"KCL","A","nSPC",-1,0,24,7.5,30,0,2,5,60,3,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","Slight",16,30,60,10,0,0,0.8,"O","R",98,"HA1503",24,24.1,2026042,1845960333,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",6
"121975",121975,"Yellow tang","2015-06-16T00:00:00Z",19.509591,-155.957528,"Main Hawaiian Islands","Hawaii","HAW-1843","Forereef","Deep",7505,"2015-06-16T00:00:00Z",2015,"KCL","A","nSPC",-1,0,24,7.5,30,0,2,5,60,3,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","Slight",16,30,60,10,0,0,0.8,"O","R",98,"HA1503",24,24.1,2026043,1845960333,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",6
"121976",121976,"Yellow tang","2015-06-16T00:00:00Z",19.509591,-155.957528,"Main Hawaiian Islands","Hawaii","HAW-1843","Forereef","Deep",7505,"2015-06-16T00:00:00Z",2015,"KCL","A","nSPC",-1,0,24,7.5,30,0,2,5,60,3,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","Slight",16,30,60,10,0,0,0.8,"O","R",98,"HA1503",24,24.1,2026044,1845960333,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121977",121977,"Yellow tang","2015-06-16T00:00:00Z",19.509591,-155.957528,"Main Hawaiian Islands","Hawaii","HAW-1843","Forereef","Deep",7505,"2015-06-16T00:00:00Z",2015,"KCL","A","nSPC",-1,0,24,7.5,30,0,2,5,60,3,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","Slight",16,30,60,10,0,0,0.8,"O","R",98,"HA1503",24,24.1,2026045,1845960333,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121978",121978,"Yellow tang","2015-06-16T00:00:00Z",19.568667,-155.971391,"Main Hawaiian Islands","Hawaii","HAW-1811","Forereef","Deep",7492,"2015-06-16T00:00:00Z",2015,"IDW","A","nSPC",-1,0,24,7.5,65,0,0,4,29,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",20,5,80,15,0,0,0.7,"A","R",98,"HA1503",23,24.3,2025725,1845960326,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",10
"121979",121979,"Yellow tang","2015-06-16T00:00:00Z",19.568667,-155.971391,"Main Hawaiian Islands","Hawaii","HAW-1811","Forereef","Deep",7492,"2015-06-16T00:00:00Z",2015,"IDW","A","nSPC",-1,0,24,7.5,65,0,0,4,29,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",20,5,80,15,0,0,0.7,"A","R",98,"HA1503",23,24.3,2025726,1845960326,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",10
"121980",121980,"Yellow tang","2015-06-16T00:00:00Z",19.568667,-155.971391,"Main Hawaiian Islands","Hawaii","HAW-1811","Forereef","Deep",7492,"2015-06-16T00:00:00Z",2015,"IDW","A","nSPC",-1,0,24,7.5,65,0,0,4,29,2,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",20,5,80,15,0,0,0.7,"A","R",98,"HA1503",23,24.3,2025727,1845960326,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",10
"121981",121981,"Yellow tang","2015-06-16T00:00:00Z",19.568667,-155.971391,"Main Hawaiian Islands","Hawaii","HAW-1811","Forereef","Deep",7492,"2015-06-16T00:00:00Z",2015,"RCB","A","nSPC",0,0,24,7.5,75,0,0,10,10,5,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",25,40,50,10,0,0,0.8,"C","R",98,"HA1503",24,25.2,2025573,1845960323,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",20
"121982",121982,"Yellow tang","2015-06-16T00:00:00Z",19.568667,-155.971391,"Main Hawaiian Islands","Hawaii","HAW-1811","Forereef","Deep",7492,"2015-06-16T00:00:00Z",2015,"RCB","A","nSPC",0,0,24,7.5,75,0,0,10,10,5,0,0,0,0,0,0,0,NA,"AGR","Aggregate Reef","None",25,40,50,10,0,0,0.8,"C","R",98,"HA1503",24,25.2,2025574,1845960323,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",6
"121983",121983,"Yellow tang","2015-06-16T00:00:00Z",19.575632,-155.970582,"Main Hawaiian Islands","Hawaii","HAW-1779","Forereef","Mid",7497,"2015-06-16T00:00:00Z",2015,"AEG","A","nSPC",-1,0,10,7.5,15,0,0,5,75,5,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",25,60,25,10,5,0,1.2,"D","C",98,"HA1503",10,11.2,2024624,1845960301,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121984",121984,"Yellow tang","2015-06-16T00:00:00Z",19.575632,-155.970582,"Main Hawaiian Islands","Hawaii","HAW-1779","Forereef","Mid",7497,"2015-06-16T00:00:00Z",2015,"AEG","A","nSPC",-1,0,10,7.5,15,0,0,5,75,5,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",25,60,25,10,5,0,1.2,"D","C",98,"HA1503",10,11.2,2024625,1845960301,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121985",121985,"Yellow tang","2015-06-16T00:00:00Z",19.575632,-155.970582,"Main Hawaiian Islands","Hawaii","HAW-1779","Forereef","Mid",7497,"2015-06-16T00:00:00Z",2015,"AEG","A","nSPC",-1,0,10,7.5,15,0,0,5,75,5,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",25,60,25,10,5,0,1.2,"D","C",98,"HA1503",10,11.2,2024626,1845960301,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121986",121986,"Yellow tang","2015-06-16T00:00:00Z",19.575632,-155.970582,"Main Hawaiian Islands","Hawaii","HAW-1779","Forereef","Mid",7497,"2015-06-16T00:00:00Z",2015,"AEG","A","nSPC",-1,0,10,7.5,15,0,0,5,75,5,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",25,60,25,10,5,0,1.2,"D","C",98,"HA1503",10,11.2,2024627,1845960301,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",5
"121987",121987,"Yellow tang","2015-06-16T00:00:00Z",19.575632,-155.970582,"Main Hawaiian Islands","Hawaii","HAW-1779","Forereef","Mid",7497,"2015-06-16T00:00:00Z",2015,"JLG","A","nSPC",0,0,10,7.5,20,0,0,15,30,35,0,0,0,0,0,0,0,NA,"ROB","Rock/Boulder","None",20,5,5,5,40,45,4,"A","C",98,"HA1503",10,10.3,2024721,1845960305,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
