"","botid","date","press","chl","hbact","pro","syn","picoeuk","cruise"
"2898",2730200214,61915,46.3,0.06,6.005,2.225,0.017,0.01,"273"
"2901",2730200211,61915,76.3,0.09,5.647,2.447,0.022,0.01,"273"
"2904",2730200208,61915,101.3,0.14,5.523,2.85,0.021,0.01,"273"
"2907",2730200205,61915,125.1,0.21,4.389,2.8,0.024,0.009,"273"
"2908",2730200204,61915,150.3,0.14,3.282,0.533,0,0.023,"273"
"2909",2730200203,61915,175.1,0.07,2.632,0.189,0,0.01,"273"
"2924",2740200218,71915,6.9,0.06,3.857,1.849,0.011,0.004,"274"
"2927",2740200215,71915,24.7,0.05,4.102,1.689,0.008,0.005,"274"
"2929",2740200212,71915,44.7,0.07,4.456,2.104,0.011,0.01,"274"
"2932",2740200209,71915,74.8,0.12,4.717,2.319,0.017,0.008,"274"
"2935",2740200206,71915,99.8,0.15,3.337,1.414,0.004,0.017,"274"
"2938",2740200203,71915,124.5,0.11,2.49,0.444,0,0.023,"274"
"2939",2740200202,71915,149.6,0.07,2.288,0.208,0,0.015,"274"
"2940",2740200201,71915,174.9,0.02,2.102,0.055,0,0.008,"274"
"2954",2750200120,81215,4.8,0.07,4.828,1.652,0.006,0.009,"275"
"2956",2750200117,81215,25.1,0.09,4.697,1.584,0.008,0.009,"275"
"2959",2750200114,81215,45.7,0.1,4.991,2.282,0.012,0.01,"275"
"2962",2750200111,81215,75.2,0.18,3.674,2.093,0.016,0.011,"275"
"2965",2750200108,81215,102.2,0.19,3.066,0.606,0,0.034,"275"
"2967",2750200105,81215,125.6,0.11,2.552,0.451,0,0.027,"275"
"2968",2750200104,81215,151.1,0.05,1.913,0.107,0,0.013,"275"
"2969",2750200103,81215,176.3,0.02,1.73,0.014,0,0.004,"275"
"2982",2770200120,101315,5.2,0.11,4.516,2.807,0.01,0.008,"277"
"2985",2770200117,101315,24.9,0.11,5.197,2.841,0.011,0.01,"277"
"2988",2770200114,101315,45.5,0.14,4.02,2.962,0.009,0.009,"277"
"2991",2770200111,101315,74.4,0.21,4.12,2.523,0.017,0.011,"277"
"2993",2770200108,101315,99.8,0.24,4.158,1.375,0.008,0.016,"277"
"2996",2770200105,101315,125.5,0.15,3.111,0.426,0,0.016,"277"
"2997",2770200104,101315,149.8,0.06,1.984,0.125,0,0.005,"277"
"2998",2770200103,101315,176.5,0.02,1.671,0.011,0,0.001,"277"
"3012",2780200721,111415,5.4,0.15,6.186,2.124,0.009,0.01,"278"
"3015",2780200717,111415,25.3,0.17,5.626,2.205,0.01,0.009,"278"
"3018",2780200714,111415,47,0.17,5.314,2.31,0.009,0.009,"278"
"3021",2780200711,111415,75.3,0.3,5.334,1.184,0.006,0.018,"278"
"3024",2780200708,111415,100.4,0.18,3.513,0.452,0.002,0.019,"278"
"3027",2780200705,111415,125,0.07,2.873,0.076,0,0.004,"278"
"3028",2780200704,111415,151,0.02,1.569,0.014,0,0.001,"278"
"3029",2780200703,111415,176.1,0.01,1.647,0.003,0,0.001,"278"
"3032",2790200120,120815,4.6,0.09,5.463,2.052,0.012,0.008,"279"
"3035",2790200117,120815,25.5,0.1,5.016,2.542,0.013,0.012,"279"
"3038",2790200114,120815,45,0.1,4.862,2.464,0.012,0.011,"279"
"3041",2790200111,120815,75.4,0.12,5.318,2.529,0.016,0.011,"279"
"3044",2790200108,120815,100.1,0.23,5.173,1.289,0.011,0.021,"279"
"3047",2790200105,120815,125.9,0.17,2.941,0.431,0,0.015,"279"
"3048",2790200104,120815,150.2,0.07,2.518,0.181,0,0.007,"279"
"3049",2790200103,120815,175.3,0.02,1.801,0.035,0,0.002,"279"
"3063",2800200120,11216,7.4,0.12,4.248,2.199,0.017,0.009,"280"
"3066",2800200117,11216,25.2,0.12,4.178,2.371,0.014,0.011,"280"
"3069",2800200114,11216,45.1,0.12,4.045,2.455,0.016,0.011,"280"
"3071",2800200111,11216,73.2,0.15,3.438,2.016,0.017,0.01,"280"
"3074",2800200108,11216,101.3,0.28,3.885,1.1,0.006,0.028,"280"
"3077",2800200105,11216,126.4,0.21,3.151,0.482,0,0.014,"280"
"3078",2800200104,11216,149.2,0.05,2.28,0.06,0,0.003,"280"
"3079",2800200103,11216,175.9,0.02,1.9,0.013,0,0,"280"
"3094",2810200120,20916,6.1,0.08,4.659,2.045,0.013,0.012,"281"
"3097",2810200117,20916,24.4,0.11,4.366,2.107,0.016,0.013,"281"
"3100",2810200114,20916,44.6,0.11,4.254,2.07,0.019,0.019,"281"
"3103",2810200111,20916,74.5,0.15,4.632,2.401,0.04,0.015,"281"
"3106",2810200108,20916,98,0.19,4.328,2.455,0.038,0.013,"281"
"3109",2810200105,20916,125.5,0.23,4.722,2.134,0.041,0.012,"281"
"3110",2810200104,20916,150.2,0.15,3.136,0.384,0.002,0.01,"281"
"3111",2810200103,20916,175,0.02,1.939,0.018,0,0.001,"281"
"3126",2820200120,30816,7.1,0.08,3.556,2.623,0.022,0.014,"282"
"3129",2820200117,30816,25.6,0.07,5.392,2.232,0.021,0.013,"282"
"3132",2820200114,30816,45.1,0.08,5.699,2.331,0.022,0.013,"282"
"3134",2820200111,30816,75.4,0.15,6.336,2.546,0.021,0.009,"282"
"3137",2820200108,30816,100.2,0.22,4.189,2.261,0.013,0.018,"282"
"3140",2820200105,30816,125.5,0.23,3.488,0.661,0,0.022,"282"
"3141",2820200104,30816,149,0.11,2.942,0.337,0,0.01,"282"
"3142",2820200103,30816,172.2,0.07,2.294,0.157,0,0.005,"282"
"3157",2830200821,41516,4.8,0.07,3.983,1.484,0.011,0.007,"283"
"3161",2830200817,41516,24.3,0.07,3.701,1.62,0.011,0.007,"283"
"3164",2830200814,41516,44.9,0.06,4.197,1.56,0.011,0.008,"283"
"3167",2830200811,41516,76.7,0.1,4.171,2.183,0.013,0.007,"283"
"3170",2830200808,41516,101.4,0.11,4.444,1.86,0.011,0.008,"283"
"3173",2830200805,41516,128.1,0.15,4.115,1.671,0.015,0.011,"283"
"3174",2830200804,41516,148.4,0.2,3.703,0.84,0.004,0.022,"283"
"3175",2830200803,41516,177.1,0.08,2.879,0.269,0,0.009,"283"
"3189",2840200118,52816,7.2,0.06,4.447,1.652,0.009,0.011,"284"
"3192",2840200115,52816,27,0.06,4.099,1.804,0.01,0.009,"284"
"3195",2840200112,52816,47.7,0.08,3.772,1.878,0.008,0.01,"284"
"3198",2840200109,52816,78.4,0.12,3.778,1.873,0.009,0.01,"284"
"3201",2840200106,52816,102.9,0.18,3.11,1.378,0.008,0.026,"284"
"3204",2840200103,52816,127.4,0.19,2.891,0.452,0.001,0.019,"284"
"3205",2840200102,52816,152.4,0.04,2.359,0.063,0,0.003,"284"
"3206",2840200101,52816,177.4,0.04,2.446,0.047,0,0.002,"284"
"3220",2850200118,71116,4.9,0.07,4.606,2.197,0.009,0.008,"285"
"3221",2850200117,71116,24.7,0.07,4.819,2.192,0.008,0.007,"285"
"3225",2850200113,71116,45.8,0.07,5.58,2.123,0.009,0.006,"285"
"3227",2850200111,71116,74.5,0.12,4.497,2.203,0.009,0.009,"285"
"3230",2850200108,71116,100.6,0.23,3.59,1.289,0.001,0.035,"285"
"3233",2850200105,71116,127.2,0.24,3.565,0.642,0,0.024,"285"
"3236",2850200102,71116,151,0.1,2.667,0.25,0,0.008,"285"
"3237",2850200101,71116,175.5,0.05,2.074,0.066,0,0.003,"285"
"3252",2860200722,81016,6.1,0.08,3.884,2.001,0.009,0.006,"286"
"3255",2860200718,81016,25.3,0.09,3.869,2.096,0.008,0.006,"286"
"3258",2860200715,81016,45.8,0.1,4.15,2.236,0.01,0.007,"286"
"3261",2860200712,81016,73.8,0.17,4.638,2.183,0.021,0.009,"286"
"3264",2860200708,81016,100.7,0.23,3.644,1.393,0.003,0.014,"286"
"3267",2860200705,81016,126.9,0.23,2.917,0.53,0,0.017,"286"
"3268",2860200704,81016,152.2,0.11,1.875,0.175,0,0.005,"286"
"3269",2860200703,81016,179,0.04,1.778,0.037,0,0.002,"286"
"3284",2870200120,101516,5.5,0.08,4.693,2.014,0.009,0.007,"287"
"3287",2870200117,101516,24.8,0.09,4.904,1.922,0.008,0.006,"287"
"3290",2870200114,101516,44.6,0.1,5.294,2.155,0.009,0.007,"287"
"3293",2870200111,101516,75.6,0.13,5.277,2.381,0.011,0.007,"287"
"3296",2870200108,101516,99.5,0.21,4.399,2.728,0.014,0.006,"287"
"3299",2870200105,101516,124.8,0.29,4.042,1.028,0.005,0.015,"287"
"3300",2870200104,101516,150.5,0.11,3.024,0.21,0,0.007,"287"
"3301",2870200103,101516,175.1,0.05,2.285,0.087,0,0.003,"287"
"3328",2890200721,12417,5.7,0.11,3.784,1.692,0.011,0.011,"289"
"3331",2890200717,12417,24.7,0.11,3.703,1.68,0.011,0.012,"289"
"3334",2890200714,12417,44.5,0.12,3.832,1.716,0.011,0.013,"289"
"3337",2890200711,12417,75,0.13,3.78,1.705,0.01,0.009,"289"
"3340",2890200708,12417,99.1,0.25,3.821,0.665,0,0.021,"289"
"3343",2890200705,12417,124.8,0.14,2.531,0.364,0,0.009,"289"
"3344",2890200704,12417,148.7,0.08,2.193,0.225,0,0.006,"289"
"3345",2890200703,12417,175.3,0.02,1.86,0.019,0,0.001,"289"
"3359",2900200621,22317,6.1,0.11,4.19,2.141,0.054,0.019,"290"
"3363",2900200617,22317,25.8,0.12,4.378,2.196,0.047,0.019,"290"
"3366",2900200614,22317,45.9,0.1,4.339,2.217,0.048,0.017,"290"
"3369",2900200611,22317,76.7,0.11,4.436,2.169,0.045,0.018,"290"
"3372",2900200608,22317,100.6,0.12,4.643,1.984,0.044,0.016,"290"
"3375",2900200605,22317,127.4,0.17,4.217,0.459,0.009,0.02,"290"
"3376",2900200604,22317,152.7,0.09,3.838,0.156,0.005,0.006,"290"
"3377",2900200603,22317,182.2,0.05,3.688,0.062,0.002,0.003,"290"
"3391",2910200118,32817,5.2,0.06,4.238,1.835,0.011,0.011,"291"
"3394",2910200115,32817,24,0.08,5.388,2.311,0.023,0.012,"291"
"3397",2910200112,32817,46,0.09,4.713,2.258,0.027,0.011,"291"
"3400",2910200109,32817,75.2,0.16,3.99,1.767,0.017,0.04,"291"
"3403",2910200106,32817,101.2,0.28,3.817,1.181,0.015,0.026,"291"
"3406",2910200103,32817,125.6,0.27,3.584,0.745,0.009,0.028,"291"
"3407",2910200102,32817,151.2,0.15,2.787,0.292,0,0.011,"291"
"3408",2910200101,32817,175.2,0.05,2.317,0.072,0,0.004,"291"
"3423",2920200120,42517,5.5,0.09,4.465,1.854,0.017,0.01,"292"
"3426",2920200117,42517,24.3,0.08,4.422,1.895,0.012,0.009,"292"
"3429",2920200114,42517,45.9,0.09,4.728,2.167,0.017,0.01,"292"
"3432",2920200111,42517,75.5,0.16,4.428,2.776,0.017,0.011,"292"
"3435",2920200108,42517,100.5,0.2,4.035,2.597,0.015,0.01,"292"
"3438",2920200105,42517,124.7,0.32,3.502,0.841,0.003,0.028,"292"
"3439",2920200104,42517,150.4,0.13,2.958,0.265,0,0.011,"292"
"3440",2920200103,42517,175.1,0.03,2.105,0.039,0,0.002,"292"
"3455",2930200120,52317,4.7,0.07,5.127,2.19,0.01,0.009,"293"
"3458",2930200117,52317,25.8,0.08,5.1,2.151,0.011,0.01,"293"
"3461",2930200114,52317,45.3,0.08,6.143,2.621,0.023,0.011,"293"
"3463",2930200112,52317,77.3,0.13,6.26,2.894,0.024,0.014,"293"
"3467",2930200108,52317,100.3,0.17,4.657,2.249,0.013,0.009,"293"
"3468",2930200105,52317,124.8,0.26,4.186,1.408,0.004,0.01,"293"
"3469",2930200104,52317,150.5,0.15,2.596,0.359,0,0.008,"293"
"3470",2930200103,52317,175.1,0.08,2.508,0.124,0,0.004,"293"
"3485",2940200122,62017,7.5,0.05,4.549,2.54,0.007,0.006,"294"
"3488",2940200117,62017,26.1,0.05,5.642,3.096,0.014,0.006,"294"
"3491",2940200114,62017,46.6,0.07,5.4,2.903,0.012,0.008,"294"
"3494",2940200111,62017,76.3,0.15,5.096,2.842,0.011,0.007,"294"
"3497",2940200108,62017,101.5,0.18,4.114,2.303,0.006,0.006,"294"
"3500",2940200105,62017,125.1,0.16,3.656,0.757,0.001,0.022,"294"
"3501",2940200104,62017,151.5,0.1,2.902,0.381,0,0.015,"294"
"3502",2940200103,62017,175.2,0.07,2.824,0.195,0,0.009,"294"
"3516",2950200121,80817,4.8,0.1,4.623,2.339,0.006,0.005,"295"
"3519",2950200118,80817,25.3,0.09,4.901,2.542,0.006,0.004,"295"
"3522",2950200115,80817,47.4,0.13,5.495,2.476,0.006,0.005,"295"
"3525",2950200112,80817,76.8,0.15,4.428,2.448,0.013,0.008,"295"
"3528",2950200109,80817,100.6,0.21,3.822,1.328,0.002,0.03,"295"
"3531",2950200106,80817,126.9,0.09,2.07,0.166,0.003,0.006,"295"
"3533",2950200104,80817,152.7,0.04,1.888,0.049,0,0.003,"295"
"3534",2950200103,80817,176.3,0.02,1.841,0.024,0,0.002,"295"
"3549",2960200722,100717,5.5,0.06,5.681,1.659,0.013,0.007,"296"
"3552",2960200719,100717,26.2,0.07,5.781,1.662,0.013,0.007,"296"
"3555",2960200716,100717,46,0.07,5.787,1.656,0.011,0.007,"296"
"3558",2960200713,100717,75.6,0.08,5.779,1.734,0.013,0.008,"296"
"3561",2960200710,100717,101.4,0.15,5.193,2.285,0.021,0.008,"296"
"3563",2960200707,100717,126.7,0.17,3.971,0.955,0.001,0.014,"296"
"3564",2960200704,100717,150.9,0.08,2.523,0.209,0,0.006,"296"
"3565",2960200703,100717,175.8,0.02,2.181,0.02,0,0.001,"296"
"3579",2970200120,110817,8.1,0.11,4.602,1.981,0.01,0.007,"297"
"3582",2970200117,110817,26.6,0.11,4.627,1.885,0.012,0.008,"297"
"3585",2970200114,110817,45.2,0.11,4.715,1.88,0.012,0.008,"297"
"3588",2970200111,110817,74.7,0.22,3.907,1.291,0.006,0.017,"297"
"3591",2970200108,110817,101,0.26,3.623,1.053,0.001,0.033,"297"
"3593",2970200106,110817,126.3,0.11,2.499,0.294,0,0.012,"297"
"3595",2970200104,110817,151.9,0.02,2.057,0.018,0,0.003,"297"
"3596",2970200103,110817,176.2,0.01,1.746,0.003,0,0,"297"
"3611",2980200120,121217,5.1,0.11,4.642,2.305,0.029,0.014,"298"
"3614",2980200117,121217,26,0.12,4.704,2.258,0.027,0.013,"298"
"3617",2980200114,121217,46.3,0.22,4.462,2.439,0.021,0.013,"298"
"3620",2980200111,121217,76.2,0.19,4.458,1.669,0.014,0.012,"298"
"3623",2980200108,121217,101.7,0.18,3.472,0.554,0.001,0.016,"298"
"3626",2980200105,121217,128.1,0.11,2.649,0.296,0,0.011,"298"
"3627",2980200104,121217,152.4,0.04,2.187,0.048,0,0.002,"298"
"3628",2980200103,121217,176,0.01,1.874,0.004,0,0.001,"298"
"3642",2990200121,11718,7,0.07,4.716,1.96,0.019,0.013,"299"
"3646",2990200117,11718,24.4,0.08,4.857,2.081,0.042,0.02,"299"
"3649",2990200114,11718,45.3,0.09,4.7,2.356,0.047,0.016,"299"
"3652",2990200111,11718,74.3,0.11,4.828,2.371,0.043,0.015,"299"
"3655",2990200108,11718,100.9,0.19,4.167,2.493,0.032,0.014,"299"
"3658",2990200105,11718,124,0.24,4.36,1.3,0.016,0.025,"299"
"3659",2990200104,11718,148.9,0.12,3.104,0.365,0,0.014,"299"
"3660",2990200103,11718,174.3,0.04,2.418,0.069,0,0.003,"299"
"3661",3000200120,22518,5,0.12,4.109,1.82,0.04,0.02,"300"
"3664",3000200117,22518,25.1,0.1,4.037,1.82,0.037,0.019,"300"
"3667",3000200114,22518,44.9,0.1,4.207,1.834,0.04,0.021,"300"
"3670",3000200111,22518,75.4,0.24,4.273,2.137,0.047,0.033,"300"
"3673",3000200108,22518,100.5,0.35,4.728,0.973,0.019,0.039,"300"
"3676",3000200105,22518,125.9,0.28,4.026,0.481,0.009,0.031,"300"
"3677",3000200104,22518,150.3,0.23,4.078,0.337,0.012,0.021,"300"
"3678",3000200103,22518,174.1,0.03,3.184,0.03,0,0.002,"300"
"3693",3010200621,41818,5.3,0.08,5.27,2.014,0.026,0.022,"301"
"3696",3010200618,41818,25.3,0.08,5.336,2.032,0.026,0.021,"301"
"3699",3010200615,41818,46.4,0.09,4.969,2.021,0.026,0.017,"301"
"3702",3010200612,41818,73.8,0.13,5.218,2.527,0.029,0.015,"301"
"3705",3010200609,41818,100.8,0.15,4.924,2.431,0.029,0.015,"301"
"3708",3010200606,41818,127.1,0.23,3.937,1.809,0.026,0.014,"301"
"3709",3010200605,41818,150.2,0.17,2.76,0.537,0,0.015,"301"
"3710",3010200604,41818,176.1,0.05,2.83,0.065,0,0.003,"301"
"3725",3020200723,51618,4.8,0.09,4.464,1.88,0.015,0.011,"302"
"3726",3020200719,51618,25.9,NA,4.724,2.272,0.016,0.013,"302"
"3727",3020200717,51618,45,0.08,4.541,2.187,0.018,0.006,"302"
"3729",3020200714,51618,75.1,0.11,4.575,2.371,0.019,0.01,"302"
"3731",3020200712,51618,100.9,0.19,3.353,2.079,0.01,0.01,"302"
"3733",3020200710,51618,124.8,0.27,3.145,0.765,0,0.031,"302"
"3735",3020200706,51618,150.4,0.14,2.5,0.27,0,0.009,"302"
"3736",3020200704,51618,176.9,0.06,2.139,0.081,0,0.004,"302"
"3741",3030200118,62618,25.6,0.06,3.969,1.523,0.01,0.006,"303"
"3744",3030200115,62618,46.4,0.05,4.189,1.663,0.011,0.007,"303"
"3747",3030200112,62618,75.7,0.12,5.759,2.042,0.018,0.011,"303"
"3750",3030200109,62618,107.9,0.15,5.069,2.211,0.016,0.011,"303"
"3753",3030200106,62618,127.1,0.17,3.472,1.385,0.005,0.013,"303"
"3755",3030200104,62618,150.9,0.14,2.598,0.411,0,0.016,"303"
"3756",3030200103,62618,177.3,0.04,2.18,0.11,0,0.005,"303"
"3769",3040200123,72418,6.2,0.07,4.163,2.081,0.011,0.007,"304"
"3774",3040200117,72418,26.2,0.06,4.237,2.157,0.01,0.007,"304"
"3777",3040200114,72418,46.3,0.08,5.078,2.584,0.013,0.009,"304"
"3780",3040200111,72418,76.1,0.16,4.79,2.533,0.009,0.013,"304"
"3783",3040200108,72418,100.9,0.23,3.302,0.992,0.001,0.019,"304"
"3786",3040200105,72418,126.2,0.14,2.468,0.247,0,0.011,"304"
"3787",3040200104,72418,151.5,0.06,1.958,0.122,0,0.006,"304"
"3788",3040200103,72418,175.4,0.02,1.758,0.028,0,0.002,"304"
"3803",3050200121,91018,7.3,0.06,5.018,1.929,0.014,0.008,"305"
"3806",3050200117,91018,25.6,0.06,5.297,2.075,0.016,0.01,"305"
"3809",3050200114,91018,45.7,0.08,5.551,2.366,0.021,0.013,"305"
"3812",3050200111,91018,76.1,0.16,4.463,2.006,0.026,0.019,"305"
"3815",3050200108,91018,100,0.22,2.872,0.745,0,0.029,"305"
"3818",3050200105,91018,125.2,0.08,2.294,0.2,0,0.007,"305"
"3819",3050200104,91018,152,0.05,2.472,0.116,0,0.005,"305"
"3820",3050200103,91018,175,0.04,1.927,0.083,0,0.003,"305"
"3835",3060200121,101218,4.6,0.1,4.339,2.276,0.011,0.007,"306"
"3838",3060200117,101218,24.1,0.1,4.563,2.215,0.01,0.006,"306"
"3841",3060200114,101218,44.4,0.15,4.633,2.196,0.009,0.008,"306"
"3844",3060200111,101218,73,0.19,4.038,2.292,0.025,0.008,"306"
"3847",3060200108,101218,99.3,0.22,3.302,0.841,0.003,0.017,"306"
"3850",3060200105,101218,125.7,0.07,1.97,0.143,0,0.005,"306"
"3851",3060200104,101218,149.8,0.03,1.631,0.046,0,0.002,"306"
"3852",3060200103,101218,175.4,0.01,1.481,0.012,0,0.001,"306"
"3867",3070200121,111618,6.8,0.1,4.241,1.905,0.016,0.007,"307"
"3870",3070200117,111618,24,0.11,4.159,1.909,0.017,0.007,"307"
"3873",3070200114,111618,44.3,0.1,4.137,1.959,0.017,0.008,"307"
"3876",3070200111,111618,75.8,0.19,4.195,2.055,0.018,0.009,"307"
"3879",3070200108,111618,98.9,0.21,3.896,1.028,0.001,0.012,"307"
"3882",3070200105,111618,126.1,0.17,2.98,0.441,0,0.009,"307"
"3883",3070200104,111618,149.8,0.03,2.433,0.012,0,0.001,"307"
"3884",3070200103,111618,174.8,0.01,1.984,0,0,0,"307"
"3901",3090200121,11519,6.8,0.12,5.678,2.737,0.021,0.014,"309"
"3904",3090200117,11519,24.2,0.12,5.555,2.797,0.026,0.011,"309"
"3907",3090200114,11519,44.7,0.15,5,2.609,0.02,0.011,"309"
"3910",3090200111,11519,76,0.21,4.102,1.817,0.016,0.008,"309"
"3912",3090200108,11519,100.6,0.2,3.786,0.618,0.002,0.019,"309"
"3915",3090200105,11519,125.3,0.11,2.48,0.313,0,0.01,"309"
"3916",3090200104,11519,150.4,0.04,2.036,0.054,0,0.003,"309"
"3917",3090200103,11519,176.2,0.02,1.787,0.021,0,0.002,"309"
"3930",3100201024,22119,5.2,NA,4.005,1.421,0.022,0.014,"310"
"3933",3100201021,22119,24.4,NA,4.051,1.566,0.022,0.015,"310"
"3934",3100201020,22119,43.9,0.11,4.128,1.624,0.025,0.015,"310"
"3936",3100201017,22119,72.9,0.15,4.108,1.461,0.02,0.016,"310"
"3938",3100201015,22119,98.3,0.23,4.024,0.779,0.011,0.025,"310"
"3940",3100201013,22119,123.4,0.14,2.604,0.475,0,0.015,"310"
"3942",3100201010,22119,151.2,0.05,2.088,0.142,0,0.005,"310"
"3943",3100201008,22119,174.2,0.02,1.917,0.012,0,0.001,"310"
"3946",3110200121,50219,5,0.08,5.02,2.258,0.012,0.014,"311"
"3949",3110200117,50219,24.7,0.08,5.112,2.257,0.013,0.014,"311"
"3952",3110200114,50219,44.5,0.09,4.964,2.416,0.011,0.011,"311"
"3955",3110200111,50219,74.9,0.1,4.142,2.462,0.007,0.012,"311"
"3957",3110200108,50219,99.7,0.14,3.962,2.553,0.012,0.01,"311"
"3960",3110200105,50219,124.7,0.21,3.652,1.946,0.012,0.02,"311"
"3961",3110200104,50219,149.6,NA,3.609,0.775,0.003,0.029,"311"
"3962",3110200103,50219,174.7,0.14,3.172,0.239,0,0.011,"311"
"3977",3120200121,61119,5.2,0.06,4.794,1.872,0.009,0.009,"312"
"3980",3120200117,61119,24.3,0.06,5.539,2.288,0.011,0.011,"312"
"3983",3120200114,61119,45,0.08,6.287,2.923,0.013,0.015,"312"
"3986",3120200111,61119,75.1,0.12,6.032,2.685,0.018,0.019,"312"
"3989",3120200108,61119,99.4,0.15,4.78,2.569,0.019,0.015,"312"
"3992",3120200105,61119,124.4,0.21,3.633,0.937,0.001,0.032,"312"
"3993",3120200104,61119,150.2,0.05,3.131,0.086,0,0.004,"312"
"3994",3120200103,61119,169.3,0.02,2.531,0.035,0,0.002,"312"
"4009",3130200121,70119,5.4,0.07,5.876,1.951,0.02,0.014,"313"
"4012",3130200117,70119,25.1,0.07,6.029,2.077,0.018,0.013,"313"
"4015",3130200114,70119,45.5,0.1,6.564,2.411,0.032,0.02,"313"
"4018",3130200111,70119,74.7,0.19,7.25,2.541,0.064,0.027,"313"
"4021",3130200108,70119,99.5,0.26,3.936,0.705,0,0.034,"313"
"4024",3130200105,70119,125.1,0.13,2.89,0.311,0,0.014,"313"
"4025",3130200104,70119,149.8,0.08,3.086,0.139,0,0.007,"313"
"4026",3130200103,70119,175,0.05,2.302,0.071,0,0.003,"313"
"4041",3140200121,80219,5.2,0.09,6.062,1.981,0.007,0.007,"314"
"4044",3140200117,80219,25.1,0.08,6,1.938,0.007,0.007,"314"
"4047",3140200114,80219,44.9,0.08,6.112,1.96,0.007,0.008,"314"
"4050",3140200111,80219,74.1,0.14,5.57,2.675,0.016,0.012,"314"
"4053",3140200108,80219,99,0.17,4.805,2.556,0.018,0.008,"314"
"4056",3140200105,80219,125.3,0.21,3.42,0.601,0.001,0.018,"314"
"4057",3140200104,80219,149.5,0.06,2.415,0.134,0,0.005,"314"
"4058",3140200103,80219,174.5,0.02,2.256,0.023,0,0.002,"314"
"4073",3150200121,90419,5.3,0.06,6.311,1.94,0.006,0.01,"315"
"4076",3150200117,90419,25.3,0.06,6.285,2.07,0.005,0.011,"315"
"4079",3150200114,90419,45,0.11,6.871,2.515,0.008,0.015,"315"
"4082",3150200111,90419,74.5,0.12,5.366,2.404,0.017,0.018,"315"
"4085",3150200108,90419,99.7,0.21,4.521,2.566,0.018,0.013,"315"
"4088",3150200105,90419,126.2,0.22,3.63,0.667,0.001,0.029,"315"
"4089",3150200104,90419,150.1,0.07,2.478,0.184,0,0.007,"315"
"4090",3150200103,90419,174.7,0.04,2.42,0.071,0,0.004,"315"
"4105",3160200121,101719,4.6,0.12,4.983,2.046,0.005,0.007,"316"
"4108",3160200117,101719,24.7,0.12,5.03,2.016,0.005,0.006,"316"
"4111",3160200114,101719,45.1,0.11,5.035,2.038,0.004,0.006,"316"
"4114",3160200111,101719,74.6,0.16,3.835,1.722,0.01,0.008,"316"
"4117",3160200108,101719,100.4,0.22,3.06,0.83,0.003,0.028,"316"
"4120",3160200105,101719,125,0.09,2.247,0.208,0,0.009,"316"
"4121",3160200104,101719,148.9,0.03,2.044,0.035,0,0.002,"316"
"4122",3160200103,101719,174.9,0.02,1.799,0.012,0,0.001,"316"
"4136",3170200121,121919,4.7,0.07,3.977,1.985,0.016,0.011,"317"
"4139",3170200118,121919,25,0.05,3.978,2.061,0.016,0.012,"317"
"4142",3170200115,121919,44.6,0.13,3.959,2.001,0.016,0.01,"317"
"4145",3170200112,121919,76.1,0.11,3.925,1.918,0.016,0.013,"317"
"4148",3170200109,121919,100.9,0.33,3.627,1.027,0.003,0.037,"317"
"4151",3170200106,121919,124.2,0.16,2.736,0.554,0,0.017,"317"
"4153",3170200104,121919,150.4,0.03,2.352,0.056,0,0.003,"317"
"4154",3170200103,121919,176,0.01,2.047,0.007,0,0,"317"
"4167",3180200617,10820,5.1,NA,3.86,1.832,0.013,0.011,"318"
"4168",3180200615,10820,24.4,0.11,3.909,1.798,0.012,0.012,"318"
"4169",3180200614,10820,43.6,NA,3.881,1.794,0.013,0.012,"318"
"4171",3180200612,10820,74.5,0.12,3.993,1.727,0.012,0.013,"318"
"4173",3180200610,10820,98.8,0.22,3.588,0.932,0.004,0.03,"318"
"4175",3180200608,10820,123.9,0.07,2.392,0.234,0,0.008,"318"
"4177",3180200606,10820,150.4,0.01,1.971,0.004,0,0,"318"
"4181",3190200121,13020,6.8,0.07,4.75,2.113,0.024,0.015,"319"
"4183",3190200117,13020,24.3,0.08,4.701,2.115,0.026,0.017,"319"
"4186",3190200114,13020,44.4,0.11,4.559,2.261,0.031,0.023,"319"
"4189",3190200111,13020,75.1,0.18,3.939,1.388,0.008,0.024,"319"
"4192",3190200108,13020,100,0.2,3.272,0.783,0.001,0.034,"319"
"4195",3190200105,13020,123.7,0.1,2.49,0.324,0,0.011,"319"
"4196",3190200104,13020,150.6,0.04,2.26,0.066,0,0.003,"319"
"4197",3190200103,13020,176.8,0.01,1.803,0.008,0,0.001,"319"
"4211",3200200122,71420,4.4,0.06,4.869,2.034,0.012,0.007,"320"
"4214",3200200118,71420,24.6,0.08,4.84,2.176,0.012,0.007,"320"
"4217",3200200115,71420,45,0.09,6.169,3.07,0.011,0.006,"320"
"4220",3200200112,71420,74.8,0.14,4.492,2.401,0.012,0.006,"320"
"4223",3200200109,71420,99.5,0.14,4.389,1.822,0.008,0.011,"320"
"4226",3200200106,71420,123.9,0.24,4.144,0.88,0.001,0.041,"320"
"4229",3200200103,71420,149.2,0.09,2.673,0.21,0,0.011,"320"
"4231",3200200101,71420,174.1,0.03,2.132,0.051,0,0.002,"320"
"4246",3210200122,80720,4.6,0.07,5.184,2.121,0.005,0.005,"321"
