year,month,season,date,day of year,Z uml E2,temp 5 m E2,temp 75 m E2,SI E2,LNA ab uml,HNA ab uml,LNA+HNA ab uml,LNA bv,HNA bv,BN bv,LNA B,HNA B,BB,%LNA BB,temp uml ,pChl uml,nChl uml,mChl uml,Chl tot uml,%pChl uml,%nChl uml,%mChl uml,NO3,NO2,PO4,SiO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,5,2,12-05-11,132,12,16.5848,12.8738,0.053,9.76E+05,1.18E+06,2.16E+06,0.047,0.046,0.046,13.72,16.42,30.14,0.46,16.52,0.08,0.15,0.03,0.26,43.0%,43.9%,13.1%,0.30,0.04,0.10,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6,2,21-06-11,172,1,18.5567,13.032,0.079,2.94E+05,3.01E+05,5.95E+05,0.052,0.080,0.066,4.47,6.19,10.66,0.42,18.80,0.04,0.06,0.04,0.13,27.5%,43.2%,29.3%,3.02,0.94,0.19,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7,3,14-07-11,195,14,18.9795,12.7172,0.089,5.12E+05,4.83E+05,9.95E+05,0.052,0.065,0.059,7.80,8.57,16.37,0.48,18.96,0.07,0.12,0.05,0.24,26.6%,51.7%,21.8%,0.43,0.16,0.12,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8,3,11-08-11,223,21,20.188,12.5295,0.109,3.10E+05,2.29E+05,5.39E+05,0.050,0.061,0.055,4.59,3.90,8.49,0.54,20.12,0.08,0.05,0.04,0.17,44.8%,29.4%,25.7%,0.58,0.42,0.14,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,9,3,26-09-11,269,27,20.0192,13.2007,0.097,2.52E+05,1.58E+05,4.10E+05,0.048,0.060,0.053,3.63,2.64,6.27,0.58,19.98,0.17,0.11,0.03,0.32,53.1%,36.2%,10.7%,0.66,0.07,0.15,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,10,4,14-10-11,287,10,18.2166,12.8811,0.076,4.03E+05,2.59E+05,6.63E+05,0.050,0.056,0.052,5.92,4.15,10.08,0.59,12.87,0.38,0.21,0.08,0.67,55.7%,32.8%,11.5%,0.95,0.05,0.24,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,11,4,17-11-11,321,100,15.0205,14.7125,0.004,3.78E+05,4.43E+05,8.21E+05,0.041,0.037,0.039,4.88,5.28,10.16,0.48,14.77,0.21,0.26,0.04,0.51,40.8%,50.5%,8.7%,3.09,0.51,0.24,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1,1,18-01-12,18,100,13.7813,13.7954,0.000,2.01E+05,2.30E+05,4.32E+05,0.042,0.054,0.049,2.62,3.60,6.22,0.42,13.79,0.14,0.25,0.05,0.44,31.4%,57.7%,10.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2,1,10-02-12,41,73,12.6209,12.3887,0.003,3.83E+05,3.94E+05,7.77E+05,0.043,0.047,0.045,5.07,5.60,10.67,0.48,12.86,0.12,0.24,0.05,0.41,30.2%,57.2%,12.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,3,1,13-03-12,73,100,12.2796,11.7246,0.008,6.41E+04,1.95E+05,2.59E+05,0.051,0.050,0.051,0.95,2.80,3.76,0.25,11.95,0.07,0.20,0.18,0.45,19.6%,50.5%,29.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
